url_path,views_total,views_unique
/OSU-Nowlab/MPI4DL,36,8
/OSU-Nowlab/MPI4DL/tree/github-repo-stats/OSU-Nowlab/MPI4DL,18,1
/OSU-Nowlab/MPI4DL/tree/github-repo-stats/OSU-Nowlab/MPI4DL/latest-report,11,1
/OSU-Nowlab/MPI4DL/pulse,10,3
/OSU-Nowlab/MPI4DL/graphs/traffic,9,3
/OSU-Nowlab/MPI4DL/blob/github-repo-stats/OSU-Nowlab/MPI4DL/latest-report/report.md,8,1
/OSU-Nowlab/MPI4DL/actions,7,2
/OSU-Nowlab/MPI4DL/pulls,7,1
/OSU-Nowlab/MPI4DL/tree/github-repo-stats,5,1
/OSU-Nowlab/MPI4DL/tree/github-repo-stats/OSU-Nowlab/MPI4DL/ghrs-data,5,1
