time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-31 00:00:00+00:00,2,2,,
2023-11-01 00:00:00+00:00,1,1,,
2023-11-02 00:00:00+00:00,1,1,43.0,3.0
2023-11-03 00:00:00+00:00,3,2,14.0,3.0
2023-11-04 00:00:00+00:00,2,2,2.0,1.0
2023-11-05 00:00:00+00:00,4,3,10.0,2.0
2023-11-06 00:00:00+00:00,5,5,21.0,2.0
2023-11-07 00:00:00+00:00,1,1,,
2023-11-08 00:00:00+00:00,25,9,87.0,4.0
2023-11-09 00:00:00+00:00,3,3,83.0,17.0
2023-11-10 00:00:00+00:00,3,3,32.0,9.0
2023-11-11 00:00:00+00:00,2,2,6.0,4.0
2023-11-12 00:00:00+00:00,3,3,5.0,2.0
2023-11-13 00:00:00+00:00,1,1,1.0,1.0
