time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-14 00:00:00+00:00,2,2,1,1
2023-12-15 00:00:00+00:00,3,3,9,1
2023-12-16 00:00:00+00:00,3,3,23,1
2023-12-17 00:00:00+00:00,2,2,1,1
2023-12-18 00:00:00+00:00,3,3,33,6
2023-12-19 00:00:00+00:00,2,2,2,1
2023-12-20 00:00:00+00:00,2,2,5,1
2023-12-21 00:00:00+00:00,2,2,3,1
2023-12-22 00:00:00+00:00,2,2,1,1
2023-12-23 00:00:00+00:00,2,2,1,1
2023-12-24 00:00:00+00:00,2,2,8,2
2023-12-25 00:00:00+00:00,4,4,2,2
2023-12-26 00:00:00+00:00,3,3,8,1
